scenario,policy,buffer,sla,cost
normal,baseline,,0.4954128440366973,6.850454685530217
normal,predictive,1.01,0.24770642201834864,6.264304881251745
normal,predictive,1.0307142857142857,0.2018348623853211,7.712454025388249
normal,predictive,1.0514285714285714,0.14678899082568808,9.275345555394248
normal,predictive,1.072142857142857,0.11926605504587157,10.898439953809213
normal,predictive,1.092857142857143,0.05504587155963303,12.62694220115376
normal,predictive,1.1135714285714287,0.027522935779816515,14.435443829947936
normal,predictive,1.1342857142857143,0.009174311926605505,16.28760231355529
normal,predictive,1.155,0.009174311926605505,18.14323134325169
normal,predictive,1.1757142857142857,0.009174311926605505,19.99886037294809
normal,predictive,1.1964285714285714,0.009174311926605505,21.85448940264449
normal,predictive,1.217142857142857,0.0,23.720141835235438
normal,predictive,1.237857142857143,0.0,25.59116300746817
normal,predictive,1.2585714285714287,0.0,27.462184179700877
normal,predictive,1.2792857142857144,0.0,29.333205351933582
normal,predictive,1.3,0.0,31.20422652416629
spikes,baseline,,0.5504587155963303,6.006765342224105
spikes,predictive,1.01,0.3394495412844037,5.601786959075267
spikes,predictive,1.0307142857142857,0.29357798165137616,6.871661472050479
spikes,predictive,1.0514285714285714,0.23853211009174313,8.256278370895187
spikes,predictive,1.072142857142857,0.21100917431192662,9.701098138148861
spikes,predictive,1.092857142857143,0.14678899082568808,11.251325754332115
spikes,predictive,1.1135714285714287,0.11926605504587157,12.881552751965
spikes,predictive,1.1342857142857143,0.10091743119266056,14.555436604411062
spikes,predictive,1.155,0.10091743119266056,16.23279100294617
spikes,predictive,1.1757142857142857,0.10091743119266056,17.91014540148128
spikes,predictive,1.1964285714285714,0.10091743119266056,19.587499800016385
spikes,predictive,1.217142857142857,0.09174311926605505,21.274877601446047
spikes,predictive,1.237857142857143,0.09174311926605505,22.967624142517483
spikes,predictive,1.2585714285714287,0.09174311926605505,24.660370683588898
spikes,predictive,1.2792857142857144,0.08256880733944955,26.35770315763131
spikes,predictive,1.3,0.08256880733944955,28.069497636976994
high_noise,baseline,,0.5321100917431193,8.87014020857187
high_noise,predictive,1.01,0.5321100917431193,9.716501208565278
high_noise,predictive,1.0307142857142857,0.4954128440366973,10.635942056539774
high_noise,predictive,1.0514285714285714,0.45871559633027525,11.635814565145086
high_noise,predictive,1.072142857142857,0.43119266055045874,12.685829157162967
high_noise,predictive,1.092857142857143,0.3486238532110092,13.868676405565736
high_noise,predictive,1.1135714285714287,0.28440366972477066,15.169629482470423
high_noise,predictive,1.1342857142857143,0.23853211009174313,16.58473348910836
high_noise,predictive,1.155,0.21100917431192662,18.053467995433817
high_noise,predictive,1.1757142857142857,0.1834862385321101,19.56315067868922
high_noise,predictive,1.1964285714285714,0.1651376146788991,21.124430821307328
high_noise,predictive,1.217142857142857,0.13761467889908258,22.730963078958144
high_noise,predictive,1.237857142857143,0.12844036697247707,24.362589264464265
high_noise,predictive,1.2585714285714287,0.09174311926605505,26.039210792684507
high_noise,predictive,1.2792857142857144,0.07339449541284404,27.756063676804356
high_noise,predictive,1.3,0.06422018348623854,29.49967877648758
lag7,baseline,,0.5321100917431193,3.122548695433327
lag7,predictive,1.01,0.24770642201834864,6.264304881251745
lag7,predictive,1.0307142857142857,0.2018348623853211,7.712454025388249
lag7,predictive,1.0514285714285714,0.14678899082568808,9.275345555394248
lag7,predictive,1.072142857142857,0.11926605504587157,10.898439953809213
lag7,predictive,1.092857142857143,0.05504587155963303,12.62694220115376
lag7,predictive,1.1135714285714287,0.027522935779816515,14.435443829947936
lag7,predictive,1.1342857142857143,0.009174311926605505,16.28760231355529
lag7,predictive,1.155,0.009174311926605505,18.14323134325169
lag7,predictive,1.1757142857142857,0.009174311926605505,19.99886037294809
lag7,predictive,1.1964285714285714,0.009174311926605505,21.85448940264449
lag7,predictive,1.217142857142857,0.0,23.720141835235438
lag7,predictive,1.237857142857143,0.0,25.59116300746817
lag7,predictive,1.2585714285714287,0.0,27.462184179700877
lag7,predictive,1.2792857142857144,0.0,29.333205351933582
lag7,predictive,1.3,0.0,31.20422652416629
